Task ID,Task Name,Task Content,Status,Date Created,Date Created Text,Due Date,Due Date Text,Start Date,Start Date Text,Parent ID,Attachments,Assignees,Tags,Priority,List Name,Project Name,Space Name,Time Estimated,Time Estimated Text,Checklists,Comments
nk82h,"POP制作の手順esaまとめ","\n",Closed,1555031386062,"4/12/2019, 10:09:46 AM GMT+9",,"",,"",0,"[]","[yuka-uchiumi]","[]",null,"etc","Graphic Tasks","Development","","","{}","[{""text"":""@hiroshi-hasegawa ありがとうございます！\nesa「ship it」にしました\n"",""by"":""yuka-uchiumi@two2.jp"",""assigned"":false,""date"":""4/16/2019, 3:24:53 PM GMT+9"",""resolved"":""N/A""},{""text"":""@yuka-uchiumi @keiichi-honma \n確認いたしました。\nありがとうございます。\n問題ないと思います。\n"",""by"":""hiroshi-hasegawa@two2.jp"",""assigned"":false,""date"":""4/16/2019, 3:22:10 PM GMT+9"",""resolved"":""N/A""},{""text"":""@hiroshi-hasegawa @keiichi-honma \nご指摘部分修正いたしました。　\nhttps://two.esa.io/posts/204\nご確認んおほど、よろしくお願いいたします\n"",""by"":""yuka-uchiumi@two2.jp"",""assigned"":false,""date"":""4/16/2019, 2:59:27 PM GMT+9"",""resolved"":""N/A""},{""text"":""@hiroshi-hasegawa @keiichi-honma \n長谷川さん\nかしこまりました、ご確認ありがとうございます。\n"",""by"":""yuka-uchiumi@two2.jp"",""assigned"":false,""date"":""4/16/2019, 2:38:06 PM GMT+9"",""resolved"":""N/A""},{""text"":""@yuka-uchiumi @keiichi-honma \nありがとうございます。\n確認いたしました。\n1点気になる点が、\n「管理番号の目的」の部分で、各企業＆各営業からの依頼があり、その内容が間違わない為と、その依頼を倉庫へ指示した際にも、間違いを防ぐ為です。\n(どの種類のことを言っているのか確認する為)\nこの部分も入れ込んでいただきたいです。\nその他は、問題ないと思います。\n申し訳ございませんが、よろしくお願いいたします。\n"",""by"":""hiroshi-hasegawa@two2.jp"",""assigned"":false,""date"":""4/16/2019, 2:01:09 PM GMT+9"",""resolved"":""N/A""},{""text"":""@yuka-uchiumi これでOKと思います！\n\n@hiroshi-hasegawa こちらレビューしてもらっても良いでしょうか？\n"",""by"":""keiichi-honma@two2.jp"",""assigned"":false,""date"":""4/16/2019, 1:22:11 PM GMT+9"",""resolved"":""N/A""},{""text"":""@keiichi-honma \nhttps://two.esa.io/posts/204\n昨日のアドバイスを元に調整いたしました。\nご確認のほど、よろしくお願いいたします。\n"",""by"":""yuka-uchiumi@two2.jp"",""assigned"":false,""date"":""4/16/2019, 11:39:18 AM GMT+9"",""resolved"":""N/A""},{""text"":""【メモ】\npopの品番発行の手順や配置方法、関係者との調整などこのタイミングで把握してほしいです。\nまた、pop制作の手順を最終的にesaにまとめてほしいのでよろしくです。\n"",""by"":""yuka-uchiumi@two2.jp"",""assigned"":false,""date"":""4/12/2019, 10:10:15 AM GMT+9"",""resolved"":""N/A""}]"
p3f0y,"ザ・パック","null",Open,1555481097490,"4/17/2019, 3:04:57 PM GMT+9",,"",,"",0,"[]","[]","[]",null,"議事録","Team Tasks","R&D","","","{}","[{""text"":""日時：2019/4/19\n先方：秦様、小宮山様\n当方：眞理谷さん、後藤さん、片桐\n議題：SDレッグフィット箱リニューアル、BARTHパッケージの相談\n\nレッグフィットのバリについて\n・角を丸くはカットできない\n・プラぎりぎりにノリつけできるか確認いただく\n・バリとは何を指しているかオンヨネにヒアリングする\n・プラの段差部分との摩擦障害でピリング発生しないか輸送か降ってみるなどのテストを実施。\n\nBARTH洗顔パウダー\n・色が多少違うので確認いただく。\n・\n"",""by"":""kano-katagiri@two2.jp"",""assigned"":false,""date"":""4/19/2019, 5:50:49 PM GMT+9"",""resolved"":""N/A""},{""text"":""日時：2019/4/17\n先方：秦様、小宮山様、片岡様、伊藤様\n当方：眞理谷さん、後藤さん、片桐\n議題：SD箱リニューアル、BARTHパッケージの相談\n\n①レッグ箱\n・紙が厚いので、底を組み立てる時に凸の部分を少し折りながら差し込んだ方が良い。とご指摘。\n・浮き出し見本は生産と同時に進行し、仕上がり次第お持ちいただける。\n\n②アイピロー箱\n・試作品お預かり。\n・ざっくりとしたスケジュール感を要連絡→6月中旬納品のため、5月中旬発注。\n※図面と見積もり後ほどいただけるよう要連絡。\n\n③マルチの隙間を埋める方法\n・コの字形か、四角形の台紙（？）を入れる方法がおすすめ。\n・コストがどうしても上がるので、社内で検討しご連絡。\n\nBARTHボトルの件、金曜日に来社いただける。\n\n※5月7日〜12日に小宮山さん海外研修のため不在。\n"",""by"":""kano-katagiri@two2.jp"",""assigned"":false,""date"":""4/17/2019, 3:36:25 PM GMT+9"",""resolved"":""N/A""}]"
13fddg,"松本 夏季 (マツモト ナツキ)（スカウト）","7/2 19:00 一次面接\n",in progress,1561947750217,"7/1/2019, 11:22:30 AM GMT+9",,"",,"",0,"[]","[]","[]",null,"R&Dメンバー2（食品・女性）：350-500万（Biz、他）","Open Positions","Recruiting","","","{}","[]"
xvmq4,"横山 祥子 (ヨコヤマ サチコ)（スカウト）","レジュメ\n27歳\n\n6/18 11:00 一次面接（面談）通過\n7/8 17:00 最終面接\n",in progress,1560737109844,"6/17/2019, 11:05:09 AM GMT+9",,"",,"",0,"[]","[]","[]",null,"R&Dメンバー2（食品・女性）：350-500万（Biz、他）","Open Positions","Recruiting","","","{}","[{""text"":""【面談】\n・アイスの商品開発経験\n・ホームランバー CVS用 メロンミルク は通常他CVSがやっている商品はやりたがらないCVSが大手3社とも採用。とにかく味が良かった。\n・企画立案～試作～OEM選定・導入\n・今後のキャリアを考え一度営業職についたが、今後は商品開発をやっていきたい\n・業務負担が多くなってきたのも転職理由の一つ。担当アカウントが20社から40社へと倍になったことで、時間的にも精神的にも負担に。\n・現年収400万円、希望年収400万円\n・内定後1ヶ月くらい\n・大学時代は乳製品や納豆菌の研究\n・自己分析\n　・長所：新しいことにも何でも前向きにトライできる、協調性がある。\n　・短所：タスクを抱え込んでしまうことがある、残業などをしてしまう。\n\n【所感】\n・OEMを使った商品開発の経験ありながらもコストが抑えられる\n・自分をよく見せたいという意識が強いかも\n・開発力になってくれるとは思うが、人間性の部分は最終面接でも評価したい\n"",""by"":""shinji-maritani@two2.jp"",""assigned"":false,""date"":""6/18/2019, 4:19:56 PM GMT+9"",""resolved"":""N/A""}]"
pbmg2,"タケシタ様","null",Closed,1555654115748,"4/19/2019, 3:08:35 PM GMT+9",,"",,"",0,"[{""title"":""タケシタ様_推薦状_200017315701_20190418191925.pdf"",""url"":""https://attachments.clickup.com/8a628c00-b35e-4a6c-8b1d-99656ba0c3b0/%E3%82%BF%E3%82%B1%E3%82%B7%E3%82%BF%E6%A7%98_%E6%8E%A8%E8%96%A6%E7%8A%B6_200017315701_20190418191925.pdf""}]","[fumitaka-koizumi]","[]",null,"CCO約600-1000万円","Open Positions","Recruiting","","","{}","[{""text"":""PASS：B70F741\n"",""by"":""f-koizumi@two2.jp"",""assigned"":false,""date"":""4/19/2019, 3:12:10 PM GMT+9"",""resolved"":""N/A""}]"
w9ck9,"岡崎 斉","\n",in progress,1559782002810,"6/6/2019, 9:46:42 AM GMT+9",,"",,"",0,"[{""title"":""resume1905pfjp.pdf"",""url"":""https://attachments.clickup.com/23ea6dd7-c817-4f8f-8b23-1ce37e26fef3/resume1905pfjp.pdf""},{""title"":""resume1905a_jp.pdf"",""url"":""https://attachments.clickup.com/bc03183a-2e85-4b4a-81bc-84912dac799b/resume1905a_jp.pdf""},{""title"":""%E5%B1%A5%E6%AD%B4%E6%9B%B81905.doc"",""url"":""https://attachments.clickup.com/d0a9e3ae-4867-474a-90a1-8e69524379b0/%25E5%25B1%25A5%25E6%25AD%25B4%25E6%259B%25B81905.doc""}]","[keiichi-honma]","[]",null,"中堅のWebデザイナー 約6-700万","Open Positions","Recruiting","","","{}","[]"
p3b1f,"調査","調査は3フェーズを想\n",Open,1555404422639,"4/16/2019, 5:47:02 PM GMT+9",,"",,"",0,"[]","[risa-shibano]","[]",null,"201904認知度調査","調査","Brand-Engage","","","{}","[]"
tm7g2,"Web","null",Open,1558501463867,"5/22/2019, 2:04:23 PM GMT+9",,"",,"",0,"[]","[]","[]",null,"BARTH バスオイル (Oct. 1)","Product Projects","R&D","","","{}","[]"
pjw3k,"メディエンス","null",Open,1555909324406,"4/22/2019, 2:02:04 PM GMT+9",,"",,"",0,"[]","[]","[]",null,"議事録","Team Tasks","R&D","","","{}","[{""text"":""日時：2019/4/22\n先方：岩村様\n当方：眞理谷さん、片桐\n\n●企業説明\n・輸入商社（一部国内商社のような動きもあり）\n問屋、工場、メーカーなど様々なレイヤーとの取引を行っている。\n・亜鉛酵母が一番の強み\n\n●亜鉛酵母\n・酵母化された亜鉛であるということ\n・10%の高含有\n・特許取得済み\n・酸化亜鉛より吸収が良いというエビデンス有り（腸内）\n・経口摂取でも酸化亜鉛より効果が高いエビデンス有り（血中濃度）\n・フランスのルサフル社から酵母を輸入\nルサフル社のヘルスケア部門との独占契約権を持っているので国内で手配できるのはメディエンスだけ\n・美味しくない（えぐみ、匂い）\n・サプリメント、グミ、ゼリー、飴にも使用している。\n・サンプル送付依頼済み。\n・10,000円/kg\n・年間何トンなどの大量オーダーであれば数千円でも検討可能\n・サプリとしては10mgくらいがスタンダード\n・日本人がどれくらい食事でとれているのか調べていただける。\n・油にも水にも溶けない\n\n●亜鉛酵母として販売してはならないものが出回っている問題\n・亜鉛を酵母の中に取り込ませられなかったものは除去しなければならないが、除去しなかったり、取り込ませる過程すらない亜鉛酵母が販売されていることがある。\n・X線解析で分析すると、酵母が取り込まれているかどうかがわかる。\n・メディエンスでは毎ロットX線解析を行ってくれるので安心感がある。\n\n●タウリン（やぎの胆汁由来）\n・パッケージには天然タウリンとは記載が難しい\n・元々は医薬品なので、健康食品としてタウリンを全面に打ち出すことはNG\n・一括表示はOK（タウリンだけ特だしにしないことがポイント）\n・薬効を期待できる量は1000mg\n・使用量は150mgくらいが目安？（大手メーカーサプリ）\n・20,000円/kg\n・カフェインとは違うところは覚醒作用がないところ。なので寝る前でも大丈夫。\n\n●サフラン抽出物\n・元々はうつ病で使われていた成分\n・リラックス、睡眠に効果的\n・他社だが機能性を取得した。（クレームは集中力）\n・40,000円/kg\n\n\n"",""by"":""kano-katagiri@two2.jp"",""assigned"":false,""date"":""4/22/2019, 2:36:22 PM GMT+9"",""resolved"":""N/A""}]"
tc0dq,"Sleepdays（マルチウェア）箱サイズ変更に伴って、ラベルサイズ修正","null",Closed,1558334703645,"5/20/2019, 3:45:03 PM GMT+9",1559847600000,"6/7/2019, 4:00:00 AM GMT+9",,"",0,"[]","[yuka-uchiumi]","[]",null,"package","Graphic Tasks","Development","","","{}","[{""text"":""入稿データまで作成完了\n"",""by"":""yuka-uchiumi@two2.jp"",""assigned"":false,""date"":""6/7/2019, 4:54:35 PM GMT+9"",""resolved"":""N/A""},{""text"":""R &Dより戻しあり。明日入稿日なので、明日早めに出せるようすすめていきます\n"",""by"":""yuka-uchiumi@two2.jp"",""assigned"":false,""date"":""6/6/2019, 5:18:30 PM GMT+9"",""resolved"":""N/A""},{""text"":""デザイン３パターン作成、R&Dの方で営業さんにcheckしていただいてます。\n戻しいただき次第、7日の入稿に間に合うよう修正していきます。\n"",""by"":""yuka-uchiumi@two2.jp"",""assigned"":false,""date"":""6/5/2019, 11:17:07 AM GMT+9"",""resolved"":""N/A""},{""text"":""R&Dから戻しいただいたので、明後日5(水)出しで修正進めます。\n"",""by"":""yuka-uchiumi@two2.jp"",""assigned"":false,""date"":""6/3/2019, 6:01:18 PM GMT+9"",""resolved"":""N/A""},{""text"":""レイアウトのバランスの都合で、裏面「ご使用上の注意」本文を、箇条書き→流しこみでのレイアウトに変更しました。\n"",""by"":""yuka-uchiumi@two2.jp"",""assigned"":false,""date"":""5/30/2019, 10:27:17 AM GMT+9"",""resolved"":""N/A""}]"
r56bg,"特許打開策","null",Closed,1557295323182,"5/8/2019, 3:02:03 PM GMT+9",1559242800000,"5/31/2019, 4:00:00 AM GMT+9",,"",0,"[]","[saki-goto]","[]",null,"BARTH ヘッド (Nov. 22)","Product Projects","R&D","","","{}","[{""text"":""5/27　根岸さんスプレッドシートやりとり\n特許回避は複雑のようです。やはり特許抵触の恐れありなので、2剤式リスク高。\n↓\nセパレート（2剤）\n中止\n"",""by"":""s-goto@two2.jp"",""assigned"":false,""date"":""5/30/2019, 11:56:01 AM GMT+9"",""resolved"":""N/A""},{""text"":""●天真堂　根岸様　5/8メール\n5月中になりそうとのこと。\n\n"",""by"":""s-goto@two2.jp"",""assigned"":false,""date"":""5/8/2019, 3:02:42 PM GMT+9"",""resolved"":""N/A""}]"
rd3hq,"イマムラ様","null",Closed,1557469426595,"5/10/2019, 3:23:46 PM GMT+9",,"",,"",0,"[]","[]","[]",null,"総務約4-500万円","Open Positions","Recruiting","","","{}","[{""text"":""5/20(月)内定　内定証書送付済\n"",""by"":""f-koizumi@two2.jp"",""assigned"":false,""date"":""5/23/2019, 2:59:41 PM GMT+9"",""resolved"":""N/A""},{""text"":""5/15(水)最終面接予定\n"",""by"":""f-koizumi@two2.jp"",""assigned"":false,""date"":""5/10/2019, 3:24:59 PM GMT+9"",""resolved"":""N/A""}]"
